transaction_id,device_or_customer_id,transaction_date,product_name,product_category,quantity,unit_price_eur,total_amount_eur,order_status,payment_method,acquisition_source,discount_applied,discount_pct
TXN-000050,CRM-00220,2022-03-02,Collagen Powder,Health,3,406.26,1218.78,completed,Credit Card,email_campaign,TRUE,25.8
TXN-000051,CRM-00164,2023-10-15,Multivitamins,Health,4,39.63,158.52,completed,Credit Card,email_campaign,FALSE,0
TXN-000052,CRM-00239,2024-04-27,Olive Oil,Food & Drink,3,116.57,349.71,cancelled,Credit Card,mobile_app,FALSE,0
TXN-000053,CRM-00046,2024-04-22,Sapiens,Books,2,194.91,389.82,completed,Buy Now Pay Later,website,FALSE,0
TXN-000054,CRM-00280,2023-09-14,Dark Chocolate,Food & Drink,4,345.5,1382,returned,Credit Card,website,FALSE,0
TXN-000055,CRM-00008,2024-06-26,Slim Fit Jeans,Clothing,4,390.24,1560.96,completed,Debit Card,organic_search,TRUE,0
TXN-000056,CRM-00163,2023-07-15,Polo Shirt,Clothing,3,64.87,194.61,completed,Debit Card,email_campaign,FALSE,0
TXN-000057,ANON-140712,2022-11-08,Foam Roller,Sports,4,269.44,1077.76,completed,Credit Card,mobile_app,FALSE,6.6
TXN-000058,CRM-00209,2023-01-20,USB-C Hub,Electronics,2,494.85,989.7,returned,PayPal,organic_search,FALSE,0
TXN-000059,ANON-693083,2022-08-07,Deep Work,Books,1,169.72,169.72,completed,Debit Card,website,FALSE,27.6
TXN-000060,CRM-00101,2022-09-27,Atomic Habits,Books,2,154.6,309.2,completed,Buy Now Pay Later,organic_search,TRUE,0
TXN-000061,CRM-00228,2023-01-14,Eye Cream,Beauty,4,32.27,129.08,completed,Google Pay,website,FALSE,0
TXN-000062,CRM-00113,2022-02-23,Car Vacuum,Automotive,2,497.53,995.06,returned,Credit Card,organic_search,FALSE,0
TXN-000063,CRM-00222,2023-07-01,Tyre Inflator,Automotive,4,324.65,1298.6,completed,Credit Card,website,FALSE,18.1
TXN-000064,CRM-00093,2025-03-07,Atomic Habits,Books,3,185.49,556.47,completed,Credit Card,organic_search,FALSE,0
TXN-000065,CRM-00062,2023-04-18,Winter Coat,Clothing,4,426.55,1706.2,completed,Google Pay,referral,FALSE,0
TXN-000066,CRM-00295,2023-04-21,Smart Watch,Electronics,1,172.99,172.99,completed,Buy Now Pay Later,website,FALSE,0
TXN-000067,CRM-00126,2023-04-18,Coffee Maker,Home & Garden,2,420.54,841.08,completed,PayPal,mobile_app,FALSE,0
TXN-000068,CRM-00289,2022-02-23,Dark Chocolate,Food & Drink,3,380.66,1141.98,completed,Buy Now Pay Later,referral,TRUE,0
TXN-000069,ANON-504051,2024-01-06,Plant Pot Set,Home & Garden,4,148.24,592.96,completed,Credit Card,organic_search,FALSE,6.5
TXN-000070,CRM-00043,2022-06-12,Board Game,Toys,2,105.34,210.68,completed,Debit Card,organic_search,FALSE,0
TXN-000071,CRM-00084,2024-09-03,Winter Coat,Clothing,2,278.91,557.82,completed,Debit Card,email_campaign,FALSE,0
TXN-000072,CRM-00014,2022-10-02,Moisturiser SPF50,Beauty,2,482.95,965.9,completed,Apple Pay,referral,FALSE,10.7
TXN-000073,ANON-952624,2024-10-25,Collagen Powder,Health,3,331.4,994.2,completed,Google Pay,organic_search,FALSE,0
TXN-000074,CRM-00254,2024-08-18,Water Bottle,Sports,4,152.64,610.56,completed,Apple Pay,mobile_app,FALSE,19.6
TXN-000075,CRM-00124,2024-02-05,Running Shoes,Sports,4,197.71,790.84,completed,Debit Card,mobile_app,TRUE,19.5
TXN-000076,ANON-798011,2023-01-12,Merino Wool Sweater,Clothing,3,57.74,173.22,completed,PayPal,email_campaign,FALSE,0
TXN-000077,CRM-00138,2024-03-04,Board Game,Toys,1,345.29,345.29,completed,PayPal,website,FALSE,0
TXN-000078,CRM-00225,2024-10-03,Yoga Mat,Sports,2,245.33,490.66,completed,Apple Pay,mobile_app,FALSE,16.6
TXN-000079,CRM-00175,2024-08-28,Dark Chocolate,Food & Drink,4,442.3,1769.2,completed,Debit Card,referral,FALSE,0
TXN-000080,CRM-00152,2022-10-09,Running Shoes,Sports,3,221.36,664.08,completed,Debit Card,paid_social,FALSE,0
TXN-000081,CRM-00192,2022-12-02,Sapiens,Books,3,98.6,295.8,completed,Credit Card,referral,FALSE,0
TXN-000082,CRM-00119,2023-01-31,Running Jacket,Clothing,2,22.63,45.26,completed,Google Pay,paid_social,FALSE,18.4
TXN-000083,CRM-00178,2023-04-09,Building Blocks,Toys,3,17.53,52.59,returned,Buy Now Pay Later,website,FALSE,0
TXN-000084,CRM-00019,2022-03-08,Smart Watch,Electronics,2,497.21,994.42,completed,PayPal,website,FALSE,24.5
TXN-000085,ANON-908422,2024-04-16,Probiotic,Health,4,122.81,491.24,completed,Buy Now Pay Later,email_campaign,FALSE,0
TXN-000086,ANON-846176,2022-01-31,Winter Coat,Clothing,2,197.05,394.1,completed,Google Pay,email_campaign,FALSE,0
TXN-000087,CRM-00088,2023-07-07,Protein Powder,Food & Drink,1,396.61,396.61,completed,Credit Card,organic_search,FALSE,13
TXN-000088,CRM-00256,2024-04-25,Green Tea Set,Food & Drink,2,322.84,645.68,completed,Credit Card,paid_social,TRUE,0
TXN-000089,CRM-00278,2023-04-01,Sleep Aid,Health,2,251.84,503.68,completed,Credit Card,paid_social,FALSE,0
TXN-000090,CRM-00118,2023-02-20,Jump Starter,Automotive,1,481.69,481.69,completed,Credit Card,paid_social,FALSE,20.8
TXN-000091,CRM-00250,2023-02-23,Desk Lamp,Home & Garden,2,406.02,812.04,completed,Google Pay,website,FALSE,0
TXN-000092,CRM-00098,2022-05-16,Organic Coffee,Food & Drink,3,482.49,1447.47,completed,PayPal,mobile_app,FALSE,0
TXN-000093,CRM-00136,2022-12-29,Webcam,Electronics,4,13.11,52.44,completed,Credit Card,paid_social,FALSE,0
TXN-000094,CRM-00071,2024-06-18,Car Vacuum,Automotive,4,172.61,690.44,completed,Google Pay,referral,TRUE,0
TXN-000095,CRM-00284,2024-09-30,Smart Watch,Electronics,4,171.83,687.32,completed,Apple Pay,email_campaign,FALSE,0
TXN-000096,CRM-00041,2023-10-28,Car Vacuum,Automotive,4,361.18,1444.72,completed,Debit Card,website,TRUE,0
TXN-000097,CRM-00232,2024-07-26,Board Game,Toys,1,205.32,205.32,completed,Credit Card,mobile_app,TRUE,9.9
TXN-000098,CRM-00033,2023-05-21,Collagen Powder,Health,2,109.57,219.14,cancelled,Debit Card,paid_social,TRUE,0
TXN-000099,CRM-00032,2024-05-25,Green Tea Set,Food & Drink,2,328,656,completed,Credit Card,website,FALSE,0
TXN-000100,CRM-00135,2024-04-09,Car Vacuum,Automotive,3,263.42,790.26,pending,Debit Card,paid_social,FALSE,7.9
TXN-000101,CRM-00095,2022-03-27,Air Purifier,Home & Garden,2,469.4,938.8,completed,Apple Pay,website,FALSE,7.1
TXN-000102,CRM-00037,2024-02-19,Probiotic,Health,1,434.88,434.88,completed,Apple Pay,paid_social,FALSE,0
TXN-000103,CRM-00108,2023-10-03,Plant Pot Set,Home & Garden,3,270.06,810.18,completed,Debit Card,paid_social,FALSE,9.9
TXN-000104,ANON-767083,2024-03-18,Air Purifier,Home & Garden,3,371.08,1113.24,completed,PayPal,mobile_app,FALSE,18.6
TXN-000105,CRM-00136,2025-03-17,Polo Shirt,Clothing,2,120.09,240.18,completed,Buy Now Pay Later,mobile_app,TRUE,10.4
TXN-000106,CRM-00140,2025-01-03,Puzzle 1000pc,Toys,1,40.58,40.58,completed,PayPal,email_campaign,FALSE,0
TXN-000107,CRM-00256,2024-12-11,Sleep Aid,Health,4,368.32,1473.28,completed,Debit Card,website,TRUE,0
TXN-000108,CRM-00028,2022-03-20,Probiotic,Health,1,246.51,246.51,completed,Buy Now Pay Later,mobile_app,FALSE,0
TXN-000109,CRM-00243,2024-12-02,Sapiens,Books,1,14.42,14.42,completed,Apple Pay,website,FALSE,0
TXN-000110,CRM-00092,2022-08-12,Tyre Inflator,Automotive,1,453.15,453.15,pending,Buy Now Pay Later,email_campaign,FALSE,0
TXN-000111,CRM-00212,2024-07-13,Remote Control Car,Toys,3,310.48,931.44,completed,Buy Now Pay Later,mobile_app,TRUE,0
TXN-000112,ANON-276578,2024-07-24,Art Kit,Toys,3,124.89,374.67,pending,Credit Card,mobile_app,FALSE,17.2
TXN-000113,CRM-00065,2022-03-28,Omega-3 Capsules,Health,1,325.5,325.5,completed,Apple Pay,website,TRUE,0
TXN-000114,ANON-173234,2023-05-19,Foam Roller,Sports,4,12.1,48.4,completed,Debit Card,referral,FALSE,0
TXN-000115,CRM-00045,2024-11-28,Vitamin C Serum,Beauty,3,317.53,952.59,completed,Credit Card,referral,TRUE,0
TXN-000116,CRM-00214,2025-01-06,Building Blocks,Toys,1,451.9,451.9,cancelled,Debit Card,mobile_app,FALSE,0
TXN-000117,CRM-00291,2024-03-21,Sapiens,Books,4,410.45,1641.8,completed,Credit Card,email_campaign,FALSE,19.2
TXN-000118,CRM-00119,2022-03-22,Vitamin C Serum,Beauty,2,53.06,106.12,completed,PayPal,email_campaign,FALSE,0
TXN-000119,CRM-00015,2025-02-16,Dark Chocolate,Food & Drink,2,306.95,613.9,completed,PayPal,organic_search,FALSE,0
TXN-000120,CRM-00090,2024-03-04,Plant Pot Set,Home & Garden,1,417.66,417.66,returned,Credit Card,mobile_app,FALSE,19.5
TXN-000121,CRM-00247,2024-11-23,Plant Pot Set,Home & Garden,1,36.6,36.6,completed,Google Pay,website,FALSE,0
TXN-000122,ANON-610102,2022-04-11,Remote Control Car,Toys,3,408.83,1226.49,pending,PayPal,email_campaign,FALSE,26.5
TXN-000123,CRM-00286,2023-01-24,Omega-3 Capsules,Health,4,61.4,245.6,completed,Credit Card,referral,FALSE,7.8
TXN-000124,CRM-00257,2023-08-20,Dash Cam,Automotive,1,298.92,298.92,cancelled,PayPal,paid_social,FALSE,0
TXN-000125,CRM-00167,2024-06-19,Lip Balm,Beauty,2,309.12,618.24,completed,Credit Card,referral,TRUE,0
TXN-000126,CRM-00166,2024-03-26,Car Phone Mount,Automotive,1,36.18,36.18,completed,Credit Card,email_campaign,TRUE,0
TXN-000127,CRM-00029,2023-09-16,Atomic Habits,Books,3,105.1,315.3,returned,Google Pay,organic_search,FALSE,27.2
TXN-000128,ANON-291605,2023-08-09,Tyre Inflator,Automotive,3,171.65,514.95,completed,Debit Card,referral,TRUE,0
TXN-000129,CRM-00239,2024-08-02,Running Shoes,Sports,4,417.93,1671.72,completed,Debit Card,organic_search,TRUE,0
TXN-000130,CRM-00037,2022-12-07,Resistance Bands,Sports,2,369.54,739.08,completed,Apple Pay,organic_search,TRUE,0
TXN-000131,CRM-00019,2024-05-15,Foam Roller,Sports,4,203.59,814.36,completed,Google Pay,paid_social,FALSE,0
TXN-000132,CRM-00235,2023-08-26,Collagen Powder,Health,2,64.68,129.36,completed,PayPal,organic_search,FALSE,0
TXN-000133,CRM-00067,2022-04-22,Face Mask Set,Beauty,2,342.94,685.88,completed,Google Pay,mobile_app,TRUE,24.4
TXN-000134,CRM-00060,2024-11-24,Deep Work,Books,1,274.67,274.67,completed,Debit Card,email_campaign,FALSE,0
TXN-000135,ANON-767349,2022-10-19,Desk Lamp,Home & Garden,2,163.87,327.74,completed,Buy Now Pay Later,mobile_app,FALSE,0
TXN-000136,CRM-00206,2024-08-07,Desk Lamp,Home & Garden,2,481.56,963.12,completed,Apple Pay,mobile_app,FALSE,0
TXN-000137,CRM-00282,2024-07-14,Jump Starter,Automotive,3,110.34,331.02,completed,Debit Card,referral,TRUE,0
TXN-000138,CRM-00026,2022-07-05,Jump Starter,Automotive,4,27.52,110.08,completed,Buy Now Pay Later,referral,FALSE,0
TXN-000139,CRM-00176,2024-10-22,The Lean Startup,Books,4,90.68,362.72,completed,Buy Now Pay Later,email_campaign,FALSE,0
TXN-000140,CRM-00276,2022-08-20,Polo Shirt,Clothing,3,36.23,108.69,completed,PayPal,organic_search,FALSE,0
TXN-000141,CRM-00023,2023-01-04,The Lean Startup,Books,1,140.3,140.3,completed,Google Pay,website,FALSE,0
TXN-000142,CRM-00300,2025-04-13,Dash Cam,Automotive,4,379.23,1516.92,completed,PayPal,paid_social,FALSE,0
TXN-000143,CRM-00060,2025-01-24,Protein Powder,Food & Drink,3,88.02,264.06,completed,PayPal,paid_social,TRUE,0
TXN-000144,ANON-164022,2022-10-05,Omega-3 Capsules,Health,1,187.74,187.74,pending,Credit Card,email_campaign,TRUE,0
TXN-000145,CRM-00243,2024-03-16,Sleep Aid,Health,3,86.51,259.53,completed,PayPal,mobile_app,FALSE,0
TXN-000146,CRM-00028,2024-04-26,Board Game,Toys,4,125.36,501.44,completed,Apple Pay,mobile_app,FALSE,0
TXN-000147,CRM-00255,2023-10-25,Car Phone Mount,Automotive,4,292.5,1170,completed,Buy Now Pay Later,referral,FALSE,0
TXN-000148,CRM-00243,2024-07-12,Lip Balm,Beauty,2,70.89,141.78,completed,PayPal,organic_search,FALSE,0
TXN-000149,ANON-321321,2022-02-21,Puzzle 1000pc,Toys,3,395.78,1187.34,completed,PayPal,organic_search,FALSE,0
TXN-000150,CRM-00283,2023-01-02,USB-C Hub,Electronics,2,317.3,634.6,completed,Buy Now Pay Later,organic_search,FALSE,0
TXN-000151,ANON-732275,2024-07-18,Car Vacuum,Automotive,3,190.81,572.43,completed,Credit Card,organic_search,FALSE,0
TXN-000152,CRM-00278,2025-04-23,Slim Fit Jeans,Clothing,4,82.93,331.72,pending,Credit Card,paid_social,FALSE,0
TXN-000153,CRM-00130,2023-02-18,Webcam,Electronics,3,439.54,1318.62,completed,Debit Card,referral,FALSE,0
TXN-000154,CRM-00218,2024-07-20,Art Kit,Toys,3,44.88,134.64,completed,Buy Now Pay Later,email_campaign,FALSE,0
TXN-000155,CRM-00149,2022-07-04,Desk Lamp,Home & Garden,1,8.57,8.57,completed,Debit Card,email_campaign,TRUE,9.9
TXN-000156,CRM-00115,2023-05-28,USB-C Hub,Electronics,1,462.51,462.51,completed,PayPal,paid_social,TRUE,0
TXN-000157,CRM-00128,2023-10-26,Wireless Earbuds,Electronics,1,354.13,354.13,completed,Debit Card,website,FALSE,0
TXN-000158,CRM-00107,2022-12-02,Running Shoes,Sports,2,298.3,596.6,completed,Apple Pay,paid_social,FALSE,0
TXN-000159,CRM-00273,2022-09-11,Moisturiser SPF50,Beauty,3,145.16,435.48,completed,Apple Pay,organic_search,TRUE,0
TXN-000160,CRM-00083,2022-07-06,Desk Lamp,Home & Garden,4,347.59,1390.36,completed,Buy Now Pay Later,organic_search,TRUE,25.1
TXN-000161,CRM-00134,2022-08-22,Eye Cream,Beauty,3,396.37,1189.11,cancelled,Apple Pay,mobile_app,FALSE,0
TXN-000162,CRM-00045,2024-07-09,Vitamin C Serum,Beauty,3,240.15,720.45,completed,Credit Card,paid_social,TRUE,0
TXN-000163,CRM-00185,2024-01-14,Throw Blanket,Home & Garden,1,67.68,67.68,completed,Credit Card,email_campaign,TRUE,0
TXN-000164,CRM-00186,2022-06-24,Webcam,Electronics,2,75.69,151.38,cancelled,Google Pay,email_campaign,TRUE,0
TXN-000165,CRM-00195,2024-12-08,Eye Cream,Beauty,4,138.85,555.4,completed,Apple Pay,referral,FALSE,20.4
TXN-000166,CRM-00150,2024-02-26,Resistance Bands,Sports,4,227.51,910.04,completed,Buy Now Pay Later,website,FALSE,0
TXN-000167,CRM-00265,2024-11-13,Car Vacuum,Automotive,1,123.19,123.19,completed,PayPal,organic_search,TRUE,16.4
TXN-000168,CRM-00144,2022-11-24,USB-C Hub,Electronics,4,91.23,364.92,completed,Debit Card,mobile_app,FALSE,0
TXN-000169,ANON-832229,2024-02-15,Sapiens,Books,3,346.69,1040.07,completed,Credit Card,website,FALSE,0
TXN-000170,CRM-00115,2025-02-01,Dark Chocolate,Food & Drink,3,299.56,898.68,completed,PayPal,paid_social,TRUE,5
TXN-000171,CRM-00126,2024-02-19,Polo Shirt,Clothing,1,359.3,359.3,completed,Debit Card,email_campaign,FALSE,0
TXN-000172,CRM-00193,2022-03-31,Probiotic,Health,2,307.35,614.7,returned,Debit Card,paid_social,TRUE,23.9
TXN-000173,ANON-228864,2022-12-16,Car Phone Mount,Automotive,3,48.48,145.44,completed,Apple Pay,organic_search,FALSE,0
TXN-000174,CRM-00075,2023-11-18,Running Shoes,Sports,2,413.28,826.56,completed,PayPal,email_campaign,FALSE,20
TXN-000175,CRM-00299,2025-03-04,Jump Starter,Automotive,2,153.79,307.58,completed,PayPal,paid_social,TRUE,0
TXN-000176,CRM-00164,2022-11-04,Puzzle 1000pc,Toys,4,211.88,847.52,returned,Apple Pay,referral,FALSE,0
TXN-000177,CRM-00006,2022-11-29,Running Shoes,Sports,3,280.51,841.53,returned,Apple Pay,paid_social,FALSE,17.3
TXN-000178,CRM-00115,2022-10-24,Dash Cam,Automotive,4,99.8,399.2,completed,Apple Pay,email_campaign,FALSE,9.4
TXN-000179,CRM-00215,2023-01-02,Vitamin C Serum,Beauty,1,492.38,492.38,completed,Buy Now Pay Later,organic_search,FALSE,0
TXN-000180,CRM-00144,2022-04-16,USB-C Hub,Electronics,3,487.53,1462.59,completed,Apple Pay,website,FALSE,17.7
TXN-000181,CRM-00235,2024-05-09,Board Game,Toys,1,310.75,310.75,completed,Google Pay,website,TRUE,0
TXN-000182,CRM-00104,2023-09-23,Art Kit,Toys,4,431.19,1724.76,completed,Buy Now Pay Later,mobile_app,FALSE,17.9
TXN-000183,CRM-00170,2023-09-26,Art Kit,Toys,4,492.47,1969.88,completed,PayPal,email_campaign,TRUE,0
TXN-000184,CRM-00097,2024-07-02,Deep Work,Books,4,255.73,1022.92,cancelled,Debit Card,organic_search,FALSE,0
TXN-000185,CRM-00082,2023-08-15,Car Phone Mount,Automotive,3,234.32,702.96,completed,Buy Now Pay Later,mobile_app,FALSE,0
TXN-000186,CRM-00008,2023-01-06,Wireless Earbuds,Electronics,4,314.47,1257.88,completed,Debit Card,email_campaign,TRUE,0
TXN-000187,ANON-477702,2022-08-29,Smart Watch,Electronics,1,107.81,107.81,completed,Apple Pay,mobile_app,TRUE,0
TXN-000188,CRM-00009,2022-09-27,Face Mask Set,Beauty,2,31.22,62.44,completed,Apple Pay,website,FALSE,0
TXN-000189,CRM-00244,2023-02-20,Resistance Bands,Sports,3,60.66,181.98,cancelled,Google Pay,mobile_app,TRUE,0
TXN-000190,CRM-00085,2022-01-08,Sleep Aid,Health,1,78.71,78.71,completed,Apple Pay,referral,FALSE,0
TXN-000191,CRM-00243,2023-06-03,Green Tea Set,Food & Drink,3,421.83,1265.49,completed,Google Pay,email_campaign,FALSE,0
TXN-000192,CRM-00142,2022-01-26,Water Bottle,Sports,4,455.27,1821.08,completed,Google Pay,email_campaign,TRUE,0
TXN-000193,CRM-00108,2024-07-28,Sapiens,Books,3,250.77,752.31,completed,Apple Pay,mobile_app,FALSE,0
TXN-000194,CRM-00176,2024-10-16,Collagen Powder,Health,4,83.92,335.68,completed,Google Pay,email_campaign,FALSE,0
TXN-000195,CRM-00070,2024-10-18,Tyre Inflator,Automotive,1,460.8,460.8,completed,Google Pay,website,FALSE,28.8
TXN-000196,CRM-00048,2025-01-18,Sleep Aid,Health,1,31.69,31.69,completed,Debit Card,website,FALSE,12.5
TXN-000197,CRM-00075,2022-01-12,Running Shoes,Sports,2,184.91,369.82,completed,Apple Pay,email_campaign,FALSE,0
TXN-000198,CRM-00073,2024-10-07,Water Bottle,Sports,4,108.54,434.16,completed,Credit Card,referral,TRUE,26.7
TXN-000199,CRM-00161,2023-05-03,Eye Cream,Beauty,2,129.18,258.36,cancelled,Google Pay,website,TRUE,0
TXN-000200,CRM-00238,2023-03-21,Dark Chocolate,Food & Drink,1,309.71,309.71,completed,Buy Now Pay Later,referral,FALSE,0
TXN-000201,CRM-00222,2025-04-20,Plant Pot Set,Home & Garden,4,444.7,1778.8,completed,Apple Pay,email_campaign,FALSE,11.2
TXN-000202,ANON-503553,2024-09-01,Polo Shirt,Clothing,2,228.85,457.7,completed,Google Pay,mobile_app,FALSE,0
TXN-000203,CRM-00285,2024-07-18,Air Purifier,Home & Garden,3,56.58,169.74,returned,Google Pay,organic_search,FALSE,0
TXN-000204,CRM-00173,2024-04-19,Air Purifier,Home & Garden,3,30.91,92.73,completed,Buy Now Pay Later,paid_social,TRUE,11.9
TXN-000205,ANON-645316,2024-06-23,Car Phone Mount,Automotive,1,270.46,270.46,returned,Buy Now Pay Later,email_campaign,FALSE,0
TXN-000206,CRM-00117,2022-06-12,Merino Wool Sweater,Clothing,1,83.07,83.07,completed,Debit Card,mobile_app,FALSE,19
TXN-000207,CRM-00281,2022-01-14,Remote Control Car,Toys,2,19.36,38.72,completed,Buy Now Pay Later,paid_social,FALSE,12.7
TXN-000208,CRM-00298,2023-05-17,USB-C Hub,Electronics,2,259.36,518.72,completed,Credit Card,website,FALSE,0
TXN-000209,ANON-622112,2025-01-25,Building Blocks,Toys,2,40,80,completed,Debit Card,organic_search,TRUE,0
TXN-000210,CRM-00071,2023-07-24,Vitamin C Serum,Beauty,4,121.24,484.96,completed,PayPal,email_campaign,FALSE,16
