activation_id,customer_id,campaign_name,activation_date,channel,segment_used,data_fields_used,outcome,revenue_attributed_eur,consent_verified_at_send,activation_approved_by,destination_platform
ACT-00030,CRM-00298,Loyalty Reward,2023-06-01,Paid Social - Meta,New,"email, segment",no_response,0,TRUE,Data Team,Meta Ads Manager
ACT-00031,CRM-00239,Black Friday 2024,2023-03-17,Paid Social - Google,At-Risk,"email, sms, segment, ltv, last_order_date",no_response,270.88,TRUE,Marketing Ops,Salesforce Marketing Cloud
ACT-00032,CRM-00267,Post-Purchase Upsell,2023-09-03,Paid Social - Meta,Loyal,"email, segment, ltv",opened,129.86,TRUE,Marketing Ops,Meta Ads Manager
ACT-00033,CRM-00031,New Arrivals - Electronics,2024-04-07,Push Notification,High-Value,"email, sms, segment, ltv, last_order_date",converted,0,TRUE,Marketing Ops,Klaviyo
ACT-00034,CRM-00152,VIP Early Access,2023-10-09,Email,Occasional,"email, purchase_history, category_affinity",bounced,0,TRUE,Marketing Ops,Meta Ads Manager
ACT-00035,CRM-00069,Spring Sale 2024,2023-12-10,Push Notification,At-Risk,"email, purchase_history, category_affinity",converted,22.15,TRUE,Marketing Ops,Internal
ACT-00036,CRM-00173,Loyalty Reward,2023-12-12,Paid Social - Google,At-Risk,"email, profiling_score, segment",converted,0,FALSE,Auto-trigger,Meta Ads Manager
ACT-00037,CRM-00001,VIP Early Access,2024-03-04,In-App Banner,At-Risk,"device_id, browsing_behaviour",converted,0,TRUE,Marketing Ops,Google Ads
ACT-00038,CRM-00209,New Arrivals - Electronics,2023-03-20,Display Retargeting,Occasional,"email, segment, ltv",opened,0,TRUE,Marketing Ops,Google Ads
ACT-00039,CRM-00281,New Arrivals - Electronics,2023-04-05,SMS,New,"email, segment, ltv",converted,0,FALSE,Marketing Ops,Klaviyo
ACT-00040,CRM-00226,VIP Early Access,2023-09-19,Paid Social - Google,Occasional,"email, segment, ltv",no_response,0,TRUE,CRM Team,Braze
ACT-00041,CRM-00167,Black Friday 2024,2023-02-07,Push Notification,High-Value,"email, segment",opened,0,TRUE,Data Team,Braze
ACT-00042,CRM-00050,VIP Early Access,2024-12-13,SMS,Loyal,"device_id, browsing_behaviour",clicked,0,TRUE,Data Team,Klaviyo
ACT-00043,CRM-00222,Win-Back 90d,2025-02-02,In-App Banner,New,"device_id, browsing_behaviour",no_response,0,TRUE,Auto-trigger,Salesforce Marketing Cloud
ACT-00044,CRM-00295,Spring Sale 2024,2025-01-18,Email,Occasional,"device_id, browsing_behaviour",opened,0,TRUE,Marketing Ops,Salesforce Marketing Cloud
ACT-00045,CRM-00172,Birthday Campaign,2023-10-29,Email,Occasional,"email, segment, ltv",opened,134.11,TRUE,Data Team,Meta Ads Manager
ACT-00046,CRM-00201,Re-engagement Q3,2023-05-14,In-App Banner,New,"email, segment",clicked,119.65,TRUE,Marketing Ops,Braze
ACT-00047,CRM-00058,Loyalty Reward,2024-06-16,SMS,High-Value,"email, segment",clicked,0,FALSE,Marketing Ops,Klaviyo
ACT-00048,CRM-00247,Loyalty Reward,2024-07-02,Push Notification,Loyal,"email, profiling_score, segment",no_response,0,TRUE,Marketing Ops,Meta Ads Manager
ACT-00049,CRM-00071,New Arrivals - Electronics,2024-02-22,Paid Social - Meta,Occasional,"email, sms, segment, ltv, last_order_date",opened,185.58,TRUE,Auto-trigger,Klaviyo
ACT-00050,CRM-00014,Spring Sale 2024,2025-02-04,SMS,Loyal,"email, segment, ltv",opened,184.55,TRUE,Auto-trigger,Klaviyo
ACT-00051,CRM-00054,VIP Early Access,2023-02-13,Email,New,"email, segment, ltv",clicked,0,FALSE,CRM Team,Google Ads
ACT-00052,CRM-00249,Black Friday 2024,2025-04-29,SMS,High-Value,"email, segment, ltv",opened,0,TRUE,Data Team,Klaviyo
ACT-00053,CRM-00060,Black Friday 2024,2024-01-11,SMS,Loyal,"email, segment, ltv",clicked,125.91,FALSE,CRM Team,Internal
ACT-00054,CRM-00089,Re-engagement Q3,2024-10-07,Paid Social - Meta,High-Value,"device_id, browsing_behaviour",clicked,166.19,TRUE,Auto-trigger,Internal
ACT-00055,CRM-00019,Post-Purchase Upsell,2023-01-22,Email,At-Risk,"email, sms, segment, ltv, last_order_date",opened,0,TRUE,Auto-trigger,Klaviyo
ACT-00056,CRM-00135,Spring Sale 2024,2025-03-07,SMS,Loyal,"device_id, browsing_behaviour",clicked,0,FALSE,CRM Team,Braze
ACT-00057,CRM-00186,New Arrivals - Electronics,2025-03-22,In-App Banner,Occasional,"email, profiling_score, segment",bounced,0,TRUE,CRM Team,Klaviyo
ACT-00058,CRM-00010,Birthday Campaign,2023-12-12,SMS,New,"device_id, browsing_behaviour",converted,0,TRUE,Auto-trigger,Klaviyo
ACT-00059,CRM-00218,Birthday Campaign,2023-09-01,Push Notification,Occasional,"email, segment, ltv",no_response,0,TRUE,CRM Team,Meta Ads Manager
ACT-00060,CRM-00218,Post-Purchase Upsell,2024-05-19,Email,New,"email, segment",bounced,0,TRUE,Marketing Ops,Google Ads
ACT-00061,CRM-00110,Re-engagement Q3,2024-02-09,Push Notification,High-Value,"email, segment, ltv",converted,70.22,FALSE,Auto-trigger,Meta Ads Manager
ACT-00062,CRM-00227,Cart Abandonment,2024-03-14,Display Retargeting,Loyal,"email, segment, ltv",bounced,0,FALSE,Auto-trigger,Klaviyo
ACT-00063,CRM-00229,Cart Abandonment,2024-03-21,Push Notification,New,"email, profiling_score, segment",converted,0,TRUE,CRM Team,Meta Ads Manager
ACT-00064,CRM-00251,Cart Abandonment,2025-03-20,SMS,At-Risk,"email, profiling_score, segment",clicked,0,FALSE,Marketing Ops,Google Ads
ACT-00065,CRM-00130,Loyalty Reward,2025-01-31,Paid Social - Google,Loyal,"email, segment",converted,0,TRUE,Marketing Ops,Klaviyo
ACT-00066,CRM-00207,Cart Abandonment,2023-02-17,Push Notification,Occasional,"email, sms, segment, ltv, last_order_date",converted,0,TRUE,Auto-trigger,Internal
ACT-00067,CRM-00251,Re-engagement Q3,2024-06-15,In-App Banner,Occasional,"email, purchase_history, category_affinity",bounced,0,TRUE,CRM Team,Braze
ACT-00068,CRM-00048,VIP Early Access,2024-12-11,Paid Social - Meta,Occasional,"email, sms, segment, ltv, last_order_date",no_response,0,TRUE,CRM Team,Braze
ACT-00069,CRM-00114,Win-Back 90d,2023-04-09,Paid Social - Meta,Loyal,"email, sms, segment, ltv, last_order_date",clicked,0,TRUE,CRM Team,Meta Ads Manager
ACT-00070,CRM-00052,Win-Back 90d,2023-04-30,Display Retargeting,Loyal,"email, segment, ltv",converted,0,TRUE,Auto-trigger,Klaviyo
ACT-00071,CRM-00011,VIP Early Access,2025-02-03,In-App Banner,Loyal,"email, profiling_score, segment",no_response,0,TRUE,CRM Team,Internal
ACT-00072,CRM-00053,Cart Abandonment,2023-05-12,Paid Social - Google,High-Value,"email, sms, segment, ltv, last_order_date",no_response,0,TRUE,Marketing Ops,Google Ads
ACT-00073,CRM-00253,Win-Back 90d,2024-03-12,Email,High-Value,"email, profiling_score, segment",opened,0,FALSE,Auto-trigger,Internal
ACT-00074,CRM-00127,New Arrivals - Electronics,2025-03-10,Push Notification,Loyal,"email, profiling_score, segment",opened,136.06,FALSE,CRM Team,Salesforce Marketing Cloud
ACT-00075,CRM-00026,Re-engagement Q3,2023-01-19,In-App Banner,At-Risk,"email, profiling_score, segment",opened,136.34,TRUE,Data Team,Google Ads
ACT-00076,CRM-00048,Loyalty Reward,2023-02-13,Paid Social - Meta,New,"email, profiling_score, segment",converted,0,FALSE,Marketing Ops,Salesforce Marketing Cloud
ACT-00077,CRM-00022,Birthday Campaign,2023-07-17,Paid Social - Meta,High-Value,"email, segment",opened,0,TRUE,Marketing Ops,Internal
ACT-00078,CRM-00125,Re-engagement Q3,2023-02-26,In-App Banner,Occasional,"email, sms, segment, ltv, last_order_date",no_response,6.68,TRUE,CRM Team,Internal
ACT-00079,CRM-00131,Loyalty Reward,2024-06-16,SMS,Loyal,"email, segment, ltv",unsubscribed,129.48,TRUE,Auto-trigger,Internal
ACT-00080,CRM-00210,Spring Sale 2024,2023-07-28,Email,Loyal,"email, segment",no_response,0,FALSE,Auto-trigger,Internal
ACT-00081,CRM-00050,Cart Abandonment,2024-01-05,Email,High-Value,"email, purchase_history, category_affinity",opened,0,TRUE,Data Team,Google Ads
ACT-00082,CRM-00215,VIP Early Access,2024-02-04,Paid Social - Google,High-Value,"email, profiling_score, segment",no_response,0,TRUE,Data Team,Salesforce Marketing Cloud
ACT-00083,CRM-00215,Re-engagement Q3,2024-02-12,SMS,At-Risk,"email, profiling_score, segment",no_response,0,FALSE,Auto-trigger,Braze
ACT-00084,CRM-00266,Re-engagement Q3,2024-09-14,In-App Banner,Occasional,"email, segment, ltv",opened,0,FALSE,Auto-trigger,Braze
ACT-00085,CRM-00160,Black Friday 2024,2023-04-01,Push Notification,New,"email, segment",opened,0,TRUE,Marketing Ops,Salesforce Marketing Cloud
ACT-00086,CRM-00271,VIP Early Access,2025-04-17,Display Retargeting,Occasional,"email, purchase_history, category_affinity",clicked,0,TRUE,Data Team,Internal
ACT-00087,CRM-00178,Spring Sale 2024,2025-02-20,In-App Banner,New,"email, segment, ltv",clicked,0,FALSE,Auto-trigger,Meta Ads Manager
ACT-00088,CRM-00289,New Arrivals - Electronics,2023-01-28,Display Retargeting,Occasional,"email, segment",bounced,23.6,FALSE,Data Team,Internal
ACT-00089,CRM-00176,Re-engagement Q3,2024-01-31,In-App Banner,Occasional,"email, sms, segment, ltv, last_order_date",opened,0,TRUE,Marketing Ops,Internal
ACT-00090,CRM-00100,Cart Abandonment,2023-06-07,Email,Occasional,"email, sms, segment, ltv, last_order_date",converted,0,TRUE,Marketing Ops,Klaviyo
ACT-00091,CRM-00136,New Arrivals - Electronics,2024-12-02,SMS,Occasional,"email, sms, segment, ltv, last_order_date",unsubscribed,0,TRUE,Marketing Ops,Salesforce Marketing Cloud
ACT-00092,CRM-00249,Cart Abandonment,2024-04-11,In-App Banner,New,"email, segment, ltv",converted,0,TRUE,Marketing Ops,Meta Ads Manager
ACT-00093,CRM-00179,Birthday Campaign,2023-03-16,In-App Banner,At-Risk,"email, sms, segment, ltv, last_order_date",clicked,0,TRUE,Marketing Ops,Google Ads
ACT-00094,CRM-00199,Win-Back 90d,2023-11-25,Email,Loyal,"email, segment",clicked,0,TRUE,Marketing Ops,Salesforce Marketing Cloud
ACT-00095,CRM-00065,VIP Early Access,2025-02-02,Email,At-Risk,"email, profiling_score, segment",opened,0,TRUE,Marketing Ops,Braze
ACT-00096,CRM-00135,Loyalty Reward,2023-08-06,In-App Banner,Occasional,"email, sms, segment, ltv, last_order_date",no_response,0,TRUE,CRM Team,Klaviyo
ACT-00097,CRM-00052,Loyalty Reward,2023-04-13,SMS,At-Risk,"device_id, browsing_behaviour",converted,0,FALSE,CRM Team,Internal
ACT-00098,CRM-00252,Birthday Campaign,2023-06-29,Push Notification,Loyal,"device_id, browsing_behaviour",opened,0,TRUE,Data Team,Braze
ACT-00099,CRM-00134,Black Friday 2024,2025-02-25,Paid Social - Meta,Loyal,"email, sms, segment, ltv, last_order_date",converted,146,TRUE,Data Team,Internal
ACT-00100,CRM-00095,Win-Back 90d,2023-08-12,Paid Social - Meta,Occasional,"email, sms, segment, ltv, last_order_date",clicked,27.06,TRUE,Marketing Ops,Internal
ACT-00101,CRM-00182,New Arrivals - Electronics,2023-09-18,Paid Social - Google,New,"device_id, browsing_behaviour",converted,0,FALSE,Data Team,Google Ads
ACT-00102,CRM-00278,Re-engagement Q3,2023-12-15,Paid Social - Google,High-Value,"email, profiling_score, segment",clicked,0,TRUE,Marketing Ops,Google Ads
ACT-00103,CRM-00240,Cart Abandonment,2023-12-31,Email,High-Value,"email, purchase_history, category_affinity",opened,0,TRUE,Marketing Ops,Meta Ads Manager
ACT-00104,CRM-00251,Cart Abandonment,2023-02-23,Display Retargeting,Loyal,"email, profiling_score, segment",opened,22.39,TRUE,Marketing Ops,Braze
ACT-00105,CRM-00059,Loyalty Reward,2025-04-17,Paid Social - Google,High-Value,"email, segment, ltv",bounced,0,FALSE,Data Team,Google Ads
ACT-00106,CRM-00089,Re-engagement Q3,2024-03-16,Paid Social - Google,At-Risk,"email, purchase_history, category_affinity",converted,0,TRUE,Auto-trigger,Meta Ads Manager
ACT-00107,CRM-00232,Birthday Campaign,2024-06-05,Paid Social - Meta,At-Risk,"device_id, browsing_behaviour",no_response,0,TRUE,CRM Team,Klaviyo
ACT-00108,CRM-00140,Post-Purchase Upsell,2024-07-17,Paid Social - Google,Loyal,"email, sms, segment, ltv, last_order_date",opened,27.57,TRUE,Auto-trigger,Braze
ACT-00109,CRM-00028,Post-Purchase Upsell,2023-07-07,Email,New,"device_id, browsing_behaviour",no_response,0,TRUE,Marketing Ops,Meta Ads Manager
ACT-00110,CRM-00175,Post-Purchase Upsell,2024-03-22,Paid Social - Google,High-Value,"email, profiling_score, segment",opened,0,FALSE,Data Team,Klaviyo
ACT-00111,CRM-00239,Black Friday 2024,2024-08-08,Display Retargeting,Occasional,"email, segment, ltv",opened,79.88,TRUE,Marketing Ops,Meta Ads Manager
ACT-00112,CRM-00039,Spring Sale 2024,2023-04-22,In-App Banner,Occasional,"device_id, browsing_behaviour",no_response,180.95,TRUE,Data Team,Braze
ACT-00113,CRM-00017,VIP Early Access,2024-05-12,Push Notification,At-Risk,"device_id, browsing_behaviour",no_response,0,TRUE,CRM Team,Klaviyo
ACT-00114,CRM-00222,Black Friday 2024,2024-10-03,In-App Banner,High-Value,"email, sms, segment, ltv, last_order_date",bounced,0,FALSE,Auto-trigger,Klaviyo
ACT-00115,CRM-00161,Win-Back 90d,2024-05-11,Paid Social - Meta,New,"email, sms, segment, ltv, last_order_date",opened,16.02,TRUE,Marketing Ops,Salesforce Marketing Cloud
ACT-00116,CRM-00258,Spring Sale 2024,2024-03-10,Email,High-Value,"email, profiling_score, segment",no_response,0,TRUE,Auto-trigger,Meta Ads Manager
ACT-00117,CRM-00169,VIP Early Access,2025-02-20,SMS,At-Risk,"email, segment",no_response,0,TRUE,Marketing Ops,Braze
ACT-00118,CRM-00119,New Arrivals - Electronics,2024-07-28,SMS,Loyal,"email, segment, ltv",converted,0,FALSE,CRM Team,Klaviyo
ACT-00119,CRM-00195,Post-Purchase Upsell,2024-10-21,Push Notification,Loyal,"device_id, browsing_behaviour",clicked,0,TRUE,CRM Team,Klaviyo
ACT-00120,CRM-00214,Birthday Campaign,2023-05-27,Push Notification,Occasional,"device_id, browsing_behaviour",clicked,0,TRUE,CRM Team,Salesforce Marketing Cloud
ACT-00121,CRM-00246,Spring Sale 2024,2024-09-28,In-App Banner,High-Value,"email, segment, ltv",clicked,0,TRUE,Data Team,Salesforce Marketing Cloud
ACT-00122,CRM-00016,Re-engagement Q3,2023-08-04,Paid Social - Google,High-Value,"email, purchase_history, category_affinity",clicked,166.07,FALSE,Auto-trigger,Meta Ads Manager
ACT-00123,CRM-00054,New Arrivals - Electronics,2024-06-21,Paid Social - Google,Loyal,"email, purchase_history, category_affinity",opened,0,TRUE,Auto-trigger,Google Ads
ACT-00124,CRM-00263,Post-Purchase Upsell,2023-09-28,Paid Social - Google,Occasional,"device_id, browsing_behaviour",no_response,0,TRUE,Data Team,Google Ads
ACT-00125,CRM-00240,Post-Purchase Upsell,2023-10-25,In-App Banner,Loyal,"email, segment",no_response,0,TRUE,CRM Team,Meta Ads Manager
ACT-00126,CRM-00073,Spring Sale 2024,2025-02-06,In-App Banner,Occasional,"email, segment, ltv",clicked,130.54,TRUE,Marketing Ops,Klaviyo
ACT-00127,CRM-00016,Cart Abandonment,2023-02-11,SMS,At-Risk,"device_id, browsing_behaviour",no_response,0,TRUE,CRM Team,Google Ads
ACT-00128,CRM-00258,Loyalty Reward,2023-04-29,Paid Social - Meta,High-Value,"device_id, browsing_behaviour",clicked,173.39,TRUE,Auto-trigger,Meta Ads Manager
ACT-00129,CRM-00164,Cart Abandonment,2023-09-05,Push Notification,High-Value,"email, sms, segment, ltv, last_order_date",clicked,260.89,TRUE,Data Team,Internal
ACT-00130,CRM-00023,Post-Purchase Upsell,2023-11-08,Push Notification,At-Risk,"email, segment",converted,0,TRUE,Marketing Ops,Klaviyo
ACT-00131,CRM-00162,Re-engagement Q3,2024-07-21,SMS,Loyal,"email, purchase_history, category_affinity",opened,172.36,TRUE,Data Team,Klaviyo
ACT-00132,CRM-00026,New Arrivals - Electronics,2023-01-06,Paid Social - Google,New,"email, purchase_history, category_affinity",clicked,0,FALSE,CRM Team,Klaviyo
ACT-00133,CRM-00158,Loyalty Reward,2025-03-23,In-App Banner,At-Risk,"email, purchase_history, category_affinity",no_response,189.64,TRUE,Data Team,Klaviyo
ACT-00134,CRM-00029,Birthday Campaign,2024-06-24,In-App Banner,Occasional,"email, segment",unsubscribed,211.24,TRUE,Marketing Ops,Salesforce Marketing Cloud
ACT-00135,CRM-00079,Re-engagement Q3,2024-04-03,In-App Banner,Loyal,"device_id, browsing_behaviour",no_response,82.53,TRUE,CRM Team,Klaviyo
ACT-00136,CRM-00165,VIP Early Access,2025-03-09,Paid Social - Meta,High-Value,"email, purchase_history, category_affinity",opened,51.5,FALSE,CRM Team,Salesforce Marketing Cloud
ACT-00137,CRM-00249,Loyalty Reward,2023-07-18,Paid Social - Meta,Occasional,"email, purchase_history, category_affinity",converted,0,TRUE,Marketing Ops,Klaviyo
ACT-00138,CRM-00014,Loyalty Reward,2023-12-17,Email,Loyal,"email, profiling_score, segment",converted,259.36,TRUE,Auto-trigger,Braze
ACT-00139,CRM-00148,Birthday Campaign,2023-11-02,SMS,High-Value,"email, profiling_score, segment",clicked,0,FALSE,Marketing Ops,Klaviyo
ACT-00140,CRM-00252,VIP Early Access,2023-09-01,In-App Banner,Occasional,"email, sms, segment, ltv, last_order_date",opened,0,TRUE,Auto-trigger,Braze
ACT-00141,CRM-00042,VIP Early Access,2024-05-03,In-App Banner,New,"email, profiling_score, segment",unsubscribed,0,FALSE,CRM Team,Klaviyo
ACT-00142,CRM-00238,Re-engagement Q3,2024-11-14,Paid Social - Google,New,"email, sms, segment, ltv, last_order_date",opened,0,TRUE,Data Team,Meta Ads Manager
ACT-00143,CRM-00210,Spring Sale 2024,2024-07-17,Paid Social - Google,High-Value,"email, sms, segment, ltv, last_order_date",clicked,0,FALSE,Auto-trigger,Google Ads
ACT-00144,CRM-00027,VIP Early Access,2025-01-24,Paid Social - Meta,Loyal,"email, segment",clicked,0,TRUE,Marketing Ops,Salesforce Marketing Cloud
ACT-00145,CRM-00045,Re-engagement Q3,2024-06-25,In-App Banner,Occasional,"email, sms, segment, ltv, last_order_date",opened,17.52,FALSE,Auto-trigger,Braze
ACT-00146,CRM-00133,Loyalty Reward,2023-05-20,In-App Banner,New,"email, sms, segment, ltv, last_order_date",converted,0,TRUE,Data Team,Klaviyo
ACT-00147,CRM-00127,Black Friday 2024,2024-02-22,Paid Social - Meta,High-Value,"email, segment, ltv",unsubscribed,0,TRUE,Auto-trigger,Klaviyo
ACT-00148,CRM-00191,Birthday Campaign,2023-02-17,Paid Social - Google,Occasional,"email, sms, segment, ltv, last_order_date",clicked,0,FALSE,CRM Team,Braze
ACT-00149,CRM-00025,VIP Early Access,2023-08-06,Paid Social - Meta,High-Value,"device_id, browsing_behaviour",opened,0,TRUE,Data Team,Klaviyo
ACT-00150,CRM-00229,Re-engagement Q3,2023-08-28,SMS,Loyal,"email, segment, ltv",opened,78.55,TRUE,Data Team,Braze
ACT-00151,CRM-00139,Cart Abandonment,2024-10-22,SMS,New,"email, segment, ltv",converted,0,TRUE,Auto-trigger,Klaviyo
ACT-00152,CRM-00205,Post-Purchase Upsell,2024-01-19,In-App Banner,High-Value,"email, profiling_score, segment",converted,298.11,TRUE,CRM Team,Klaviyo
ACT-00153,CRM-00298,Birthday Campaign,2024-09-21,Push Notification,Loyal,"email, segment",clicked,282.48,TRUE,Data Team,Meta Ads Manager
ACT-00154,CRM-00102,New Arrivals - Electronics,2025-01-11,Push Notification,Loyal,"email, purchase_history, category_affinity",no_response,0,TRUE,Data Team,Google Ads
ACT-00155,CRM-00010,VIP Early Access,2023-05-08,Paid Social - Meta,High-Value,"device_id, browsing_behaviour",opened,0,FALSE,Data Team,Google Ads
ACT-00156,CRM-00004,Black Friday 2024,2023-02-24,Display Retargeting,Loyal,"email, profiling_score, segment",no_response,0,FALSE,CRM Team,Google Ads
ACT-00157,CRM-00009,Birthday Campaign,2023-04-15,SMS,Loyal,"email, purchase_history, category_affinity",clicked,19.77,TRUE,Marketing Ops,Braze
ACT-00158,CRM-00200,Win-Back 90d,2024-11-14,Paid Social - Google,High-Value,"email, segment, ltv",no_response,0,TRUE,CRM Team,Internal
ACT-00159,CRM-00008,Loyalty Reward,2024-01-15,SMS,New,"email, purchase_history, category_affinity",opened,0,TRUE,Data Team,Internal
ACT-00160,CRM-00243,Black Friday 2024,2024-04-07,Display Retargeting,New,"device_id, browsing_behaviour",opened,0,TRUE,CRM Team,Braze
ACT-00161,CRM-00010,Loyalty Reward,2024-12-08,Display Retargeting,New,"email, segment, ltv",opened,0,FALSE,Auto-trigger,Internal
ACT-00162,CRM-00097,Cart Abandonment,2024-12-11,SMS,Loyal,"email, sms, segment, ltv, last_order_date",unsubscribed,34.85,FALSE,Data Team,Google Ads
ACT-00163,CRM-00228,New Arrivals - Electronics,2023-01-19,Paid Social - Google,High-Value,"device_id, browsing_behaviour",clicked,0,TRUE,CRM Team,Google Ads
ACT-00164,CRM-00243,Cart Abandonment,2024-09-12,Display Retargeting,High-Value,"email, sms, segment, ltv, last_order_date",no_response,53.4,FALSE,CRM Team,Meta Ads Manager
ACT-00165,CRM-00176,Birthday Campaign,2025-04-21,SMS,Occasional,"email, purchase_history, category_affinity",clicked,0,TRUE,Data Team,Braze
ACT-00166,CRM-00025,Cart Abandonment,2023-02-18,Display Retargeting,High-Value,"email, segment, ltv",bounced,0,FALSE,Data Team,Google Ads
ACT-00167,CRM-00058,Re-engagement Q3,2024-06-03,Paid Social - Google,High-Value,"email, segment, ltv",clicked,0,FALSE,Auto-trigger,Google Ads
ACT-00168,CRM-00286,Birthday Campaign,2024-01-13,Paid Social - Meta,High-Value,"device_id, browsing_behaviour",opened,0,TRUE,Data Team,Klaviyo
ACT-00169,CRM-00030,VIP Early Access,2024-08-01,SMS,New,"email, segment, ltv",clicked,128.22,TRUE,CRM Team,Google Ads
ACT-00170,CRM-00236,Birthday Campaign,2024-08-17,In-App Banner,New,"email, purchase_history, category_affinity",opened,0,TRUE,CRM Team,Salesforce Marketing Cloud
ACT-00171,CRM-00162,Win-Back 90d,2024-12-25,In-App Banner,High-Value,"email, profiling_score, segment",opened,108.82,TRUE,Auto-trigger,Salesforce Marketing Cloud
ACT-00172,CRM-00112,New Arrivals - Electronics,2023-03-08,SMS,Loyal,"email, profiling_score, segment",opened,0,TRUE,Marketing Ops,Meta Ads Manager
